band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
alpha,143.65625,0.7161799233033486,1.096310188586358e-05,0.897250199333531,1,5,0.25,1024,0.82
alpha,144.65625,0.3119439645772226,9.733276783663314e-06,0.7923197729777238,1,5,0.25,1024,0.82
alpha,145.65625,0.7605566246640678,9.1208103185636e-06,0.5308267159765723,1,5,0.25,1024,0.82
alpha,146.65625,0.7588143286112075,9.433928426005878e-06,0.6129527530190312,1,5,0.25,1024,0.82
alpha,147.65625,0.9513830251744054,1.0001514965551904e-05,0.6873667118692705,1,5,0.25,1024,0.82
alpha,148.65625,0.46398034823919654,1.0389984709036073e-05,0.7365018731783052,1,5,0.25,1024,0.82
alpha,149.65625,0.10081865646501281,1.045731460180832e-05,0.7661195883131064,1,5,0.25,1024,0.82
alpha,150.65625,0.82932799585413,1.0033823855337689e-05,0.8845785209064392,1,5,0.25,1024,0.82
alpha,151.65625,0.5058166151094347,9.19369085750077e-06,0.8469620037081584,1,5,0.25,1024,0.82
alpha,152.65625,0.5358632706100567,8.411616363446228e-06,0.5934357958410624,1,5,0.25,1024,0.82
alpha,153.65625,0.4370998942501749,8.151820111379493e-06,0.1610828615499533,1,5,0.25,1024,0.82
alpha,154.65625,0.4814444235356712,8.203160177799873e-06,0.1710350692153684,1,5,0.25,1024,0.82
alpha,155.65625,0.8506739736200257,8.109022928692866e-06,0.2490028285947627,1,5,0.25,1024,0.82
alpha,156.65625,0.23880033619531743,7.815530807420146e-06,0.4798858196160182,1,5,0.25,1024,0.82
alpha,157.65625,0.9532521970723569,7.525237833760912e-06,0.6078068598615357,1,5,0.25,1024,0.82
alpha,158.65625,0.9977311125260184,7.220736733870581e-06,0.6378415475623833,1,5,0.25,1024,0.82
alpha,159.65625,0.3712627106509968,6.926542027940741e-06,0.4153101079752163,1,5,0.25,1024,0.82
alpha,160.65625,0.5827591381937667,7.054606157907983e-06,0.3569819940535023,1,5,0.25,1024,0.82
alpha,161.65625,0.26348727833223645,8.075507139437832e-06,0.7693973986690154,1,5,0.25,1024,0.82
alpha,162.65625,0.947032731003632,9.674789907876402e-06,0.911735977922849,1,5,0.25,1024,0.82
alpha,163.65625,0.11071101857966384,1.1216787243029104e-05,0.8844828010303435,1,5,0.25,1024,0.82
alpha,164.65625,0.4196938371319233,1.2695057193923276e-05,0.7959862187021121,1,5,0.25,1024,0.82
alpha,165.65625,0.597683317506109,1.410614186170278e-05,0.449262322723258,1,5,0.25,1024,0.82
alpha,166.65625,0.9049260237236375,1.4818028830632102e-05,0.0635339753147186,1,5,0.25,1024,0.82
alpha,167.65625,0.10496111378588124,1.4643548638559878e-05,0.0477573112359939,1,5,0.25,1024,0.82
alpha,168.65625,0.5228609161019827,1.4114145415078385e-05,0.0973230315182835,1,5,0.25,1024,0.82
alpha,169.65625,0.9022734106682149,1.3405455320025794e-05,0.1017123828472429,1,5,0.25,1024,0.82
alpha,170.65625,0.2130551848563085,1.2156950106145814e-05,0.3089440354557242,1,5,0.25,1024,0.82
alpha,171.65625,0.9579404612693513,1.0308282071491703e-05,0.7940480677693479,1,5,0.25,1024,0.82
beta,0.0,0.5647399802900531,1.141799111792352e-05,0.4513146012037087,3,5,0.25,1024,0.82
beta,1.0,0.16807191783449393,1.1178779459442012e-05,0.607569701672285,3,5,0.25,1024,0.82
beta,2.0,0.15243860560641664,1.0905894669122064e-05,0.7577220807208861,3,5,0.25,1024,0.82
beta,3.0,0.21733083924646218,1.061919283529278e-05,0.7874479604257343,3,5,0.25,1024,0.82
beta,4.0,0.29183062588913167,1.0333384125260636e-05,0.7993810520726858,3,5,0.25,1024,0.82
beta,5.0,0.4695704218003547,1.0060733984573744e-05,0.8091068541339645,3,5,0.25,1024,0.82
beta,6.0,0.9027620844685447,9.812667485675776e-06,0.5777461953597265,3,5,0.25,1024,0.82
beta,7.0,0.11760498573021827,9.59826138569042e-06,0.441071564661466,3,5,0.25,1024,0.82
beta,8.0,0.5914992029775524,9.421009963261897e-06,0.3848498681862827,3,5,0.25,1024,0.82
beta,9.0,0.3301020757745181,9.27810924622463e-06,0.3622675608376203,3,5,0.25,1024,0.82
beta,10.0,0.8114765640225065,9.163985851046164e-06,0.375464916126543,3,5,0.25,1024,0.82
beta,11.0,0.2379936729823342,9.076722562895156e-06,0.3449653430678646,3,5,0.25,1024,0.82
beta,12.0,0.5673055563643976,9.023815437103622e-06,0.2969137245948317,3,5,0.25,1024,0.82
beta,13.0,0.13606995844569011,9.02331703400705e-06,0.3465242163729146,3,5,0.25,1024,0.82
beta,14.0,0.9589478788752719,9.098703230847605e-06,0.6135691181778024,3,5,0.25,1024,0.82
beta,15.0,0.1952700873074738,9.26887514651753e-06,0.8842358136862196,3,5,0.25,1024,0.82
beta,16.0,0.19450231244519273,9.53671224124264e-06,0.9764139275903344,3,5,0.25,1024,0.82
beta,17.0,0.8479793092117032,9.88047213468235e-06,0.983604269965642,3,5,0.25,1024,0.82
beta,18.0,0.313439001324884,1.0252181709802244e-05,0.9724210049358002,3,5,0.25,1024,0.82
beta,19.0,0.36079244456274207,1.0585268682916649e-05,0.8677240171751496,3,5,0.25,1024,0.82
beta,20.0,0.22087381313097765,1.0810726053023243e-05,0.5751583529620385,3,5,0.25,1024,0.82
